text,category,emotion
 Trailer late ah parthavanga like podunga,Positive ,joy
 Move pathutu vanthu trailer pakurvnga yaru,Positive ,surprise
 Puthupetai dhanush  ah yarellam pathinga,Positive ,surprise
" Dhanush oda character ,puthu sa erukay , mass ta",Positive ,love
 vera level ippa pesungada mokka nu thalaivaaaaaa,Positive ,love
 Thala mass . U1 bgm.     Vera level,Positive ,love
 ivara pathta death vadi madiri irukku,Negative ,disgust
 0:28 90's kids reference  Maadila irunthu kudicha Shakthiman kaapathvaaru,Positive ,surprise
 Aiyoo thala mass pannita thala,Positive ,love
 ENPT ku kaathu kadanthathellam oru nimishathula poiruchu,Mixed_feelings ,neutral
 When Pandey gets up  Vandumurugan : IM SPEAKING.. NO CROSS SPEAKING... SITTT DOWNNN,Negative ,anger
 Remake of Malayalam Mohanlal movie Devadoodhan,Negative ,disgust
 Tharamaana sirappaana sambavam inimeal ta paaka pora....,Positive ,joy
 Viswasam trailer paathutu Inka vanthavanga like panuga,unknown_state ,joy
 Maran  kattu kattitamnue verithanam thalivaaàa,Positive ,love
 Ella trailer la last la oru Mass dialouge vaichikuringaaa paaaa,Positive ,love
 Eppa Saamy thala padathula Vera director pera...pakurathu evalo periya santhosama iruku.....,Positive ,joy
 En thalaivan vijaysethubathi kaga matume na padam papan matha entha p..... illa,Mixed_feelings ,love
 Kanithan + mugamoodi Neenga nambalainalum ithan nesam,Positive ,joy
 Enakku iru mugan trailer gnabagam than varuthu,Positive ,surprise
 ARE YOU EXPECTING HAPPY DEEPAVALI FORCE DIALOGUE IN 2.0 MOVIE,Positive ,joy
 Sakthimaan fans like Sivakarthikeyen fans comment,Mixed_feelings ,love
 rajini and akshay fans hit like,Mixed_feelings ,love
 1 hour 1 million likes,Positive ,joy
 Raww vana padama iruku  all the best,Positive ,surprise
 Thalaiva.. full Support from kerala Mohanlal Fans,unknown_state ,love
 En da.. trailer layae ivlo slow motion nah.. padathula paathi duration slow motion layae mudichirpeenga polayae,Negative ,disgust
 Thalaiva ungala screen pakkum pothey ippadiiii erukinga na  Nerla partha yappidiiii erupinga Oru murai tharisanam kedaikumaaaa,Positive ,love
